id,ICAO,alliance,hubs,AO_type
2,KVZ,KVZ,DAAG,REG
3,BRH,XIQ,,FSC
4,JTZ,EHF,,FSC
6,HDR,HDR,,FSC
7,LWO,LWO,,CHT
13,HYO,SRE,,LCC
14,NFX,EHF,,FSC
17,NEB,BTC,LIPZ,LCC
19,FBI,EHF,LJLJ,FSC
20,GDV,BTC,LEMD_LEMH_LEAS_LEVC_LEPA_LEBL,FSC
21,LPR,EHF,LGTS_LGAV,FSC
23,CWE,GND,,LCC
24,NJS,NJS,,REG
25,IZB,BTC,UUEE,FSC
27,BVH,BTC,LFPO_LFPG_LFBO_LFMN_LFML_LFBD_LFRS_LFLL,FSC
29,CWU,CWU,,REG
32,TUK,TUK,UBBB,FSC
33,NXS,NXS,,CHT
35,HUI,EHF,,FSC
36,EHM,EHM,,REG
41,WAY,XIQ,,FSC
44,OVG,EHF,LMML,FSC
48,DLT,DLT,,CHT
49,VNT,BTC,,FSC
50,FNP,EHF,,FSC
52,QLN,XIQ,LEMD_LEVC_LEPA_LEBB_GEML,REG
55,NLU,EHF,,FSC
59,NPD,NPD,,FSC
61,QGC,BTC,,FSC
64,PGM,PGM,,REG
65,AFX,TXQ,,CHT
70,ASJ,XIQ,LYBE,FSC
76,JHZ,EHF,LOWW,FSC
77,ADI,ADI,UKBB,FSC
78,RAD,RAD,EGJA_EGJB,REG
80,MWG,EHF,,FSC
82,STV,STV,,CHT
83,BHC,XIQ,,FSC
89,ENF,BTC,LIBD_EDDF_LFPG_LICJ_LIEE_LIML_LIMC_LIRF_LIRN_LICC,FSC
91,OLJ,OLJ,,REG
98,SIZ,XIQ,EGPH_EHAM_EGKK_EGLL_LFMN,FSC
99,IOH,IOH,,FSC
102,JRE,JRE,,CHT
103,RAM,RAM,EGJJ_EGJB,REG
105,QTA,BTC,EGLC,REG
107,HFZ,XIQ,EGCC_EGAC_EGBB_EGTE_EGNX_EGHI_EGJJ_EGJB_EGNS,LCC
108,RJU,EHF,EBBR,FSC
109,ONU,XIQ,LSZH_EDDM_LOWS_LEMG_EDDV_EDSB_EDDN_EDDS_LEAL_EDDK_LEIB_EDDR_EDDH_EDDL_LEPA_LOWW_EKCH_EDDT,LCC
114,BHJ,UHD,,CHT
115,ZIK,ZIK,,REG
118,AWR,XIQ,,LCC
119,LYR,LYR,,CHT
120,OJS,MXK,,CHT
126,IKH,IRA,,CHT
129,ICP,AYZ,,REG
130,XIH,XIH,,LCC
133,HCK,HCK,,FSC
135,SVZ,XIQ,,FSC
136,YEV,YEV,,FSC
138,UBY,UBY,LIRF,LCC
142,YQA,YQA,,REG
145,WEU,WEU,,FSC
146,XBV,XBV,,REG
147,ZVX,ZVX,EVRA,LCC
149,CFA,CFA,,CHT
151,ZRV,ZRV,,CHT
153,AMI,AMI,,FSC
155,GNV,BTC,LFLL,REG
156,ZJH,HDM,,LCC
157,MYS,BTC,,FSC
163,IME,EHF,,FSC
166,WKH,WKH,,CHT
168,POK,BTC,LFKB_LFKJ_LFMN,REG
171,OCW,BTC,,FSC
174,BGN,XIQ,EGLC,REG
175,IYN,TKC,EDDF_EDDP,LCC
183,YUK,WKG,,FSC
189,GEL,GEL,,REG
198,KZN,HDM,,REG
199,JTG,JTG,GCLP,REG
206,PRF,XIQ,,FSC
212,KYO,IRA,LFPO,CHT
214,HWP,BTC,LKPR,FSC
219,WQO,BTC,,FSC
223,CGS,EHF,LDSP_LDZA_LDDU,FSC
224,AKY,AKY,,CHT
234,UCY,BTC,,REG
235,WYJ,WYJ,LCLK,FSC
237,VRJ,VRJ,DAOO_DAAG,FSC
239,DYG,BTC,EHAM,FSC
